"SMPT_NORTHING","SMPT_EASTING","SMPT","DATE_TIME","MEAS_RESULT","MEAS_DETERMINAND_CODE","MEAS_SIGN","SAMP_ID"
179153,336015,"EST OFF NEWPORT",2015-02-02 09:11:00,0.01,"0731","<",4610607
179153,336015,"EST OFF NEWPORT",2015-02-02 09:11:00,0.01,"0733","<",4610607
179153,336015,"EST OFF NEWPORT",2015-02-02 09:11:00,0.01,"6399","<",4610607
179153,336015,"EST OFF NEWPORT",2016-07-07 10:38:00,2e-04,"0714",NA,4654064
179153,336015,"EST OFF NEWPORT",2016-07-07 10:38:00,0.00023,"0731",NA,4654064
179153,336015,"EST OFF NEWPORT",2016-07-07 10:38:00,8e-05,"0733",NA,4654064
179153,336015,"EST OFF NEWPORT",2016-07-07 10:38:00,0.00012,"6399",NA,4654064
179153,336015,"EST OFF NEWPORT",2015-04-21 10:59:00,0.01,"0714","<",4616978
179153,336015,"EST OFF NEWPORT",2015-04-21 10:59:00,0.01,"0731","<",4616978
179153,336015,"EST OFF NEWPORT",2015-04-21 10:59:00,0.01,"0733","<",4616978
179153,336015,"EST OFF NEWPORT",2015-04-21 10:59:00,0.01,"6399","<",4616978
179153,336015,"EST OFF NEWPORT",2015-03-27 12:40:00,0.01,"0714","<",4614842
179153,336015,"EST OFF NEWPORT",2015-03-27 12:40:00,0.01,"0731","<",4614842
179153,336015,"EST OFF NEWPORT",2015-03-27 12:40:00,0.01,"0733","<",4614842
179153,336015,"EST OFF NEWPORT",2015-03-27 12:40:00,0.01,"6399","<",4614842
179153,336015,"EST OFF NEWPORT",2016-10-20 12:09:00,0.00021,"0714",NA,4662116
179153,336015,"EST OFF NEWPORT",2016-10-20 12:09:00,0.00019,"0731",NA,4662116
179153,336015,"EST OFF NEWPORT",2016-10-20 12:09:00,1e-04,"0733","<",4662116
179153,336015,"EST OFF NEWPORT",2016-10-20 12:09:00,0.00013,"6399",NA,4662116
179153,336015,"EST OFF NEWPORT",2015-07-31 08:22:00,0.01,"0714","<",4625688
179153,336015,"EST OFF NEWPORT",2015-07-31 08:22:00,0.01,"0731","<",4625688
179153,336015,"EST OFF NEWPORT",2015-07-31 08:22:00,0.01,"0733","<",4625688
179153,336015,"EST OFF NEWPORT",2015-07-31 08:22:00,0.01,"6399","<",4625688
179153,336015,"EST OFF NEWPORT",2015-05-22 11:07:00,0.01,"0714","<",4619251
179153,336015,"EST OFF NEWPORT",2015-05-22 11:07:00,0.01,"0731","<",4619251
179153,336015,"EST OFF NEWPORT",2015-05-22 11:07:00,0.01,"0733","<",4619251
179153,336015,"EST OFF NEWPORT",2015-07-16 09:27:00,0.01,"0714","<",4624249
179153,336015,"EST OFF NEWPORT",2015-07-16 09:27:00,0.01,"0731","<",4624249
179153,336015,"EST OFF NEWPORT",2015-07-16 09:27:00,0.01,"0733","<",4624249
179153,336015,"EST OFF NEWPORT",2015-07-16 09:27:00,0.01,"6399","<",4624249
